1,_id,dutch
2,"aan alles zijn kosten verbonden","you can't make an omelet without breaking some eggs"
3,"achter de wolken schijnt de zon","every cloud has a silver lining"
4,"al doende leert men.","practice makes perfect"
5,"al het mogelijke doen","leave no stone unturned"
6,"al is de leugen nog zo snel, de waarheid achterhaalt hem wel."
7,"all of a sudden","plotseling"
8,"alles loopt tegelijk mis","when it rains it pours"
9,"alles, helemaal"
10,"als er een schaap over de dam is, volgen er meer."
11,"als het kalf verdronken is, dempt men de put"
12,"als iets niet lukt, moet je niet anderen de schuld geven"
13,"als je een keer iets naars hebt meegemaakt, ben je voorzichtiger"
14,"als je over de duiver praat","speak of the devil"
15,"als pasen en pinksteren op een dag vallen","once in a blue moon"
16,"andere mensen goed behandelen. ook bekend als 'de gouden regel'","do unto others as you would have them do unto you"
17,"appels met peren vergelijken","comparing apples to oranges"
18,"appels zijn gezond","an apple a day keeps the doctor away"
19,"appeltje, eitje"
20,"as a rule","over het algemeen"
21,"baat het niet, dan schaadt het niet."
22,"behandeld worden op die manier waarop jij anderen behandelt (negatief)","get a taste of your own medicine"
23,"belofte maakt schuld.","to keep one's word"
24,"beter goed gejat dan slecht verzonnen","better a good steal than a bad original"
25,"beter je best doen of vertrekken","get your act together or leave"
26,"beter laat dan nooit","better late than never"
27,"beter twee vogels in de hand dan tien in de lucht","a bird in the hand is worth two in the bush"
28,"betrouwbaarheid is belangrijker dan snelheid","slow and steady wins the race"
29,"dat muisje krijgt nog wel een staartje","we haven't heard the end of this."
30,"de aanhouder wint","it's dogged that does it"
31,"de allerergste situatie","a perfect storm"
32,"de appel valt niet ver van de boom","a chip of the old block"
33,"de eerste klap is een daalder waard.","to catch the bull
34,"de gestadige jager wint.","it's dogged that does it"
35,"de huid niet verkopen voordat de beer geschoten is.","don't count your chickens before they hatch"
36,"de pot verwijt de ketel dat hij zwart ziet","the pot calling the kettle black"
37,"de situatie door hebben (meestal negatief)","know which way the wind is blowing"
38,"de tijd vliegt als je het naar je zin hebt","time flies when you're having fun"
39,"de zoon lijkt precies op de vader","he's a chip off the old block"
40,"degene die het eerst komt, krijgt het beste"
41,"die mogelijkheid bestaat niet meer","that ship has sailed"
42,"dig into","in duiken"
43,"doen wat je al de hele tijd wilde, zodat je verder kunt gaan"
44,"door het oog van de naald kruipen.","jumping through hoops"
45,"een afspraak uitstellen","take a rain check"
46,"een bliksemschicht/donderslag bij heldere hemel","bolt from the blue"
47,"een dubbeltje voor je gedachten","a penny for your thoughts"
48,"een echt goede uitvinding","the best thing since sliced bread"
49,"een ezel stoot zich in het gemeen niet tweemaal aan dezelfde steen.","a donkey doesn't bump into the same stone twice."
50,"een foto zegt meer dan 1000 woorden","a picture is worth 1000 words"
51,"een geheim verklappen","spill the beans"
52,"een goed begin is het halve werk.","the first blow is half the battle"
53,"een goed begin is het halve werk","well begun is half done"
54,"een lang verhaal kort maken","to make a long story short"
55,"een moeilijke tijd doorstaan","weather the storm"
56,"een risico nemen","throw caution to the wind"
57,"een slechte situatie nog erger maken","add insult to injury"
58,"een sneeuwbal effect","a snowball effect"
59,"een storm in een glas water","a storm in a teacup"
60,"een trend volgen, doen wat iedereen doet"
61,"eerlijkheid duurt het langst.","honesty will pay in the long run."
62,"eigen haard is goud waard.","your home is your castle."
63,"er zijn nog meer vissen in de zee","there are other fish in the sea"
64,"er zijn problemen te verwachten","there are clouds on the horizon"
65,"ergens even niets mee doen","put something on ice"
66,"everything will start to click","alles zal op zijn plek vallen"
67,"gedraag je of vertrek","shape up or ship out"
68,"geen enkele kans","a snowball's chance in hell"
69,"geen slapende honden wakker maken","let sleeping dogs lie"
70,"geld dat je vandaag spaart, kun je later uitgeven"
71,"geloof wat mensen doen en niet wat ze zeggen dat ze zullen doen","actions speak louder than words"
72,"gezelligheid kent geen tijd.","time flies when you're having fun"
73,"go through","doornemen"
74,"goed nadenken voor je iets doet","look before you leap"
75,"haastige spoed is zelden goed","haste makes waste"
76,"heel blij, in de wolken"
77,"heel hard lopen","run like the wind"
78,"het beste van twee werelden","the best of both worlds"
79,"het geheim verklappen","let the cat out of the bag"
80,"het grote problem waar niet over gepraat wordt","the elephant in the room"
81,"het heeft geen zin te klagen over iets wat toch niet veranderd kan worden","don't cry over spilt milk"
82,"het ijs breken","break the ice"
83,"het is makkelijk","it's a piece of cake"
84,"het is niet ingewikkeld","it's not rocket science"
85,"het is nog niet voorbij","it ain't over till the fat lady sings"
86,"het is nu aan jou","the ball is in your court"
87,"het is te laat","miss the boat"
88,"het is te riskant wat je doet","don't put all your eggs in one basket"
89,"het komt wel goed","it is always darkest before the dawn"
90,"het kwartje is gevallen","the penny has dropped"
91,"het precies juist hebben","hit the nail on the head"
92,"het regent pijpenstelen","it's raining cats and dogs"
93,"het stort van de regen","it's raining cats and dogs"
94,"hij heeft belangrijkere dingen te doen dan datgene waar we nu over praten","he has bigger fish to fry"
95,"hij is dom","he's not playing with a full deck"
96,"hij is gek","he's off his rocker"
97,"hij kan niet beslissen","he's sitting on the fence"
98,"hij lijkt gek, maar in werkelijkheid is hij erg slim"
99,"hoe beter je iemand leert kennen, hoe minder je hem mag"
100,"hoge bomen vangen veel wind.","the bigger they are
101,"ieder huisje heeft zijn kruisje.","each cottage has an entrance hall."
102,"iedereen krijgt wel een kans","every dog has his day"
103,"iemand alleen is niet verantwoordelijk. er zijn twee mensen nodig.","it takes two to tango"
104,"iemand het voordeel van de twijfel geven","give someone the benefit of the doubt"
105,"iemand negeren","give someone the cold shoulder"
106,"iemand niet verantwoordelijk voor iets houden","let someone off the hook"
107,"iemand voor de gek houden","pull someone's leg"
108,"iets doen omdat het onvermijdelijk is","bite the bullet"
109,"iets doen wat geen zin heeft","go on a wild goose chase"
110,"iets goed doen","on the ball"
111,"iets goeds, dat eerst slecht leek"
112,"iets half doen om tijd of geld uit te sparen","cutting corners"
113,"iets heel gewoons","a dime a dozen"
114,"iets ingewikkelds begrijpen","wrap your head around something"
115,"iets is zeer duur","costs an arm and a leg"
116,"iets met een korreltje zout nemen","take it with a grain of salt"
117,"iets onverwacht doen zonder het gepland te hebben","do something at the drop of a hat"
118,"iets op een goede manier doen","cut the mustard"
119,"iets op je nemen wat eigenlijk teveel is","bite off more than you can chew"
120,"iets over een geheim horen","get wind of something"
121,"iets rechtstreeks van de betrokken persoon horen","hear something straight from the horse's mouth"
122,"iets voor iemand bederven","rain on someone's parade"
123,"iets voor later bewaren","saving for a rainy day"
124,"iets wat je nooit vergeet hoe te doen","like riding a bicycle"
125,"ik ben zo moe als een hond","i'm as tired as 60 cats"
126,"ik heb ook geen idee","your guess is as good as mine"
127,"in good times and in bad times","door dik en dun"
128,"in the long run","op de lange termijn"
